City,State,Technology,Vendor
Augusta,GA,Automated License Plate Readers,Vigilant Solutions
Doraville,GA,Automated License Plate Readers,Vigilant Solutions
Tybee Island,GA,Automated License Plate Readers,Vigilant Solutions
Alma,GA,Automated License Plate Readers,Vigilant Solutions
Thomasville,GA,Automated License Plate Readers,Flock Safety
Marietta,GA,Automated License Plate Readers,"Vigilant Solutions, Flock Safety"
Byron,GA,Automated License Plate Readers,"Vigilant Solutions, Flock Safety"
Cedartown,GA,Automated License Plate Readers,Vigilant Solutions
Blairsville,GA,Automated License Plate Readers,Flock Safety
Ludowici,GA,Automated License Plate Readers,Vigilant Solutions
Loganville,GA,Automated License Plate Readers,Vigilant Solutions
Ball Ground,GA,Automated License Plate Readers,Vigilant Solutions
Cedar Rapids,IA,Automated License Plate Readers,Vigilant Solutions
New Lenox,IL,Automated License Plate Readers,Vigilant Solutions
Elmhurst,IL,Automated License Plate Readers,Vigilant Solutions
Lombard,IL,Automated License Plate Readers,Vigilant Solutions
Burr Ridge,IL,Automated License Plate Readers,Vigilant Solutions
Indianapolis,IN,Automated License Plate Readers,Vigilant Solutions
Indianapolis,IN,Automated License Plate Readers,Flock Safety
Grosse Ile,MI,Automated License Plate Readers,Vigilant Solutions
New Brighton,MN,Automated License Plate Readers,Vigilant Solutions
Mounds View,MN,Automated License Plate Readers,Vigilant Solutions
Webster Groves,MO,Automated License Plate Readers,Flock Safety
Overland,MO,Automated License Plate Readers,Vigilant Solutions
Kirkwood,MO,Automated License Plate Readers,Vigilant Solutions
Osage Beach,MO,Automated License Plate Readers,Vigilant Solutions
Poplar Bluff,MO,Automated License Plate Readers,Vigilant Solutions
Sparks,NV,Automated License Plate Readers,Vigilant Solutions
Reno,NV,Automated License Plate Readers,Vigilant Solutions
New York City,NY,Automated License Plate Readers,Vigilant Solutions
Kingston,NY,Automated License Plate Readers,Vigilant Solutions
Salamanca,NY,Automated License Plate Readers,Vigilant Solutions
Buffalo,NY,Automated License Plate Readers,Vigilant Solutions
Beachwood,OH,Automated License Plate Readers,Vigilant Solutions
Salem,OR,Automated License Plate Readers,Vigilant Solutions
Allen,TX,Automated License Plate Readers,Vigilant Solutions
Port Arthur,TX,Automated License Plate Readers,Vigilant Solutions
Missouri City,TX,Automated License Plate Readers,Vigilant Solutions
Deer Park,TX,Automated License Plate Readers,Vigilant Solutions
Pearland,TX,Automated License Plate Readers,Vigilant Solutions
Woodway,TX,Automated License Plate Readers,Vigilant Solutions
Wenatchee,WA,Automated License Plate Readers,Vigilant Solutions
Buena Park,CA,Automated License Plate Readers,Flock Safety
Santa Ana,CA,Automated License Plate Readers,Motorola Solutions
Laguna Beach,CA,Automated License Plate Readers,Motorola Solutions
Brentwood,CA,Automated License Plate Readers,Motorola Solutions
Coppell,TX,Automated License Plate Readers,Vigilant Solutions
Galt,CA,Automated License Plate Readers,Flock Safety
Indianapolis,IN,Automated License Plate Readers,Vigilant Solutions
Lodi,CA,Automated License Plate Readers,Flock Safety
Folsom,CA,Automated License Plate Readers,Motorola Solutions
Clackamas,OR,Automated License Plate Readers,Vigilant Solutions
Simi Valley,CA,Automated License Plate Readers,Flock Safety
Pasadena,CA,Automated License Plate Readers,Motorola Solutions
Garden Grove,CA,Automated License Plate Readers,"Flock Safety, Motorola Solutions"
Griffith,IN,Automated License Plate Readers,Vigilant Solutions
Cypress,CA,Automated License Plate Readers,Motorola Solutions
College Station,TX,Automated License Plate Readers,Vigilant Solutions
College Park,GA,Automated License Plate Readers,Vigilant Solutions
Springfield,MO,Automated License Plate Readers,Flock Safety
La Habra,CA,Automated License Plate Readers,Motorola Solutions
Gurnee,IL,Automated License Plate Readers,Flock Safety
